customer_id,open_rate,click_rate,purchase_rate,unsubscribed
CUST00069,0.39,0.2,0.12,1
CUST00070,0.47,0.18,0.1,0
CUST00071,0.38,0.08,0.05,0
CUST00072,0.27,0.15,0.1,0
CUST00073,0.21,0.12,0.04,0
CUST00074,0.23,0.08,0.04,0
CUST00075,0.37,0.1,0.06,0
CUST00076,0.36,0.1,0.05,0
CUST00077,0.27,0.08,0.04,0
CUST00078,0.07,0.03,0.01,0
CUST00079,0.32,0.09,0.07,0
CUST00080,0.34,0.19,0.08,0
CUST00081,0.35,0.08,0.05,0
CUST00082,0.64,0.33,0.16,0
CUST00083,0.46,0.23,0.09,0
CUST00084,0.26,0.11,0.04,0
CUST00085,0.37,0.2,0.13,0
CUST00086,0.5,0.29,0.19,0
CUST00087,0.44,0.12,0.07,0
CUST00088,0.05,0.02,0.01,0
CUST00089,0.71,0.39,0.25,0
CUST00090,0.3,0.12,0.09,0
CUST00091,0.27,0.06,0.04,0
CUST00092,0.18,0.09,0.05,0
CUST00093,0.42,0.15,0.05,0
CUST00094,0.34,0.18,0.08,0
CUST00095,0.51,0.18,0.09,0
CUST00096,0.28,0.08,0.04,0
CUST00097,0.17,0.04,0.01,0
CUST00098,0.21,0.05,0.03,0
CUST00099,0.28,0.16,0.06,0
CUST00100,0.3,0.14,0.1,1
CUST00101,0.37,0.09,0.03,0
CUST00102,0.24,0.07,0.05,0
CUST00103,0.35,0.19,0.14,0
CUST00104,0.56,0.18,0.07,0
CUST00105,0.65,0.31,0.24,0
CUST00106,0.22,0.11,0.04,0
CUST00107,0.37,0.08,0.04,0
CUST00108,0.39,0.12,0.09,0
CUST00109,0.22,0.07,0.02,0
CUST00110,0.17,0.06,0.03,0
CUST00111,0.79,0.29,0.11,0
CUST00112,0.16,0.08,0.04,0
CUST00113,0.15,0.07,0.05,0
CUST00114,0.58,0.12,0.06,0
CUST00115,0.14,0.03,0.01,0
CUST00116,0.29,0.17,0.08,1
CUST00117,0.51,0.18,0.14,0
CUST00118,0.17,0.1,0.06,0
CUST00119,0.39,0.14,0.05,0
CUST00120,0.07,0.02,0.01,0
CUST00121,0.38,0.18,0.11,0
CUST00122,0.12,0.06,0.05,0
CUST00123,0.3,0.08,0.04,0
CUST00124,0.24,0.13,0.04,0
CUST00125,0.36,0.18,0.08,1
CUST00126,0.4,0.21,0.13,0
CUST00127,0.11,0.05,0.02,0
CUST00128,0.35,0.09,0.07,0
CUST00129,0.07,0.03,0.02,0
CUST00130,0.66,0.33,0.15,0
CUST00131,0.52,0.14,0.1,0
CUST00132,0.44,0.12,0.04,0
CUST00133,0.24,0.07,0.04,0
CUST00134,0.42,0.12,0.09,0
CUST00135,0.26,0.15,0.06,0
CUST00136,0.27,0.06,0.04,0
CUST00137,0.19,0.05,0.03,0
CUST00138,0.44,0.24,0.08,0
CUST00139,0.1,0.05,0.04,0
CUST00140,0.2,0.05,0.04,0
CUST00141,0.34,0.18,0.11,0
CUST00142,0.03,0.01,0.01,0
CUST00143,0.36,0.11,0.08,0
CUST00144,0.28,0.09,0.06,0
CUST00145,0.34,0.13,0.04,0
CUST00146,0.37,0.09,0.05,0
CUST00147,0.09,0.04,0.01,0
CUST00148,0.24,0.08,0.04,0
CUST00149,0.03,0.02,0.01,0
CUST00150,0.33,0.13,0.08,0
CUST00151,0.16,0.09,0.03,0
CUST00152,0.05,0.03,0.02,0
CUST00153,0.47,0.2,0.09,0
CUST00154,0.64,0.31,0.1,0
CUST00155,0.28,0.1,0.07,0
CUST00156,0.55,0.29,0.11,0
CUST00157,0.4,0.23,0.12,0
CUST00158,0.16,0.06,0.05,0
CUST00159,0.22,0.11,0.05,0
CUST00160,0.26,0.06,0.02,0
CUST00161,0.38,0.13,0.07,0
CUST00162,0.42,0.09,0.04,0
CUST00163,0.38,0.08,0.03,0
CUST00164,0.46,0.23,0.11,0
CUST00165,0.16,0.04,0.02,0
CUST00166,0.28,0.11,0.04,0
CUST00167,0.09,0.02,0.02,0
CUST00168,0.54,0.24,0.19,0
CUST00169,0.32,0.13,0.08,0
CUST00170,0.42,0.11,0.07,0
CUST00171,0.38,0.21,0.13,0
CUST00172,0.17,0.04,0.02,0
CUST00173,0.24,0.09,0.05,0
CUST00174,0.25,0.09,0.07,0
CUST00175,0.18,0.07,0.02,0
CUST00176,0.2,0.06,0.02,0
CUST00177,0.22,0.06,0.02,0
CUST00178,0.33,0.11,0.04,0
CUST00179,0.16,0.04,0.01,0
CUST00180,0.26,0.08,0.03,0
CUST00181,0.07,0.02,0.01,0
CUST00182,0.51,0.2,0.14,0
CUST00183,0.19,0.04,0.03,0
CUST00184,0.13,0.07,0.06,0
CUST00185,0.55,0.2,0.07,0
CUST00186,0.09,0.04,0.02,0
CUST00187,0.08,0.02,0.01,0
CUST00188,0.1,0.05,0.04,0
CUST00189,0.5,0.29,0.19,0
CUST00190,0.52,0.24,0.18,0
CUST00191,0.19,0.07,0.06,0
CUST00192,0.72,0.36,0.28,0
CUST00193,0.13,0.05,0.02,0
CUST00194,0.15,0.05,0.02,0
CUST00195,0.32,0.14,0.09,0
CUST00196,0.38,0.14,0.09,0
CUST00197,0.32,0.13,0.05,0
CUST00198,0.35,0.1,0.06,0
CUST00199,0.04,0.01,0.01,0
CUST00200,0.37,0.15,0.11,1
CUST00201,0.03,0.01,0.0,0
CUST00202,0.65,0.16,0.1,0
CUST00203,0.12,0.06,0.03,0
CUST00204,0.08,0.04,0.03,0
CUST00205,0.44,0.1,0.04,0
CUST00206,0.11,0.05,0.03,0
CUST00207,0.26,0.06,0.03,0
CUST00208,0.37,0.2,0.11,0
CUST00209,0.15,0.06,0.04,0
CUST00210,0.36,0.08,0.04,0
CUST00211,0.25,0.12,0.05,0
CUST00212,0.4,0.22,0.15,0
CUST00213,0.28,0.08,0.03,0
CUST00214,0.22,0.07,0.04,0
CUST00215,0.51,0.17,0.09,0
CUST00216,0.2,0.11,0.09,0
CUST00217,0.63,0.23,0.16,0
CUST00218,0.37,0.16,0.08,0
CUST00219,0.4,0.24,0.1,0
CUST00220,0.56,0.21,0.08,0
CUST00221,0.5,0.28,0.14,0
CUST00222,0.28,0.16,0.05,0
CUST00223,0.41,0.13,0.09,1
CUST00224,0.18,0.08,0.04,0
CUST00225,0.36,0.11,0.06,0
CUST00226,0.11,0.03,0.02,0
CUST00227,0.22,0.05,0.03,0
CUST00228,0.39,0.13,0.1,1
CUST00229,0.25,0.1,0.05,0
CUST00230,0.32,0.18,0.08,0
CUST00231,0.31,0.08,0.04,0
CUST00232,0.23,0.07,0.04,0
CUST00233,0.43,0.16,0.05,0
CUST00234,0.34,0.13,0.05,1
CUST00235,0.24,0.11,0.06,0
CUST00236,0.08,0.02,0.01,0
CUST00237,0.81,0.31,0.18,0
CUST00238,0.08,0.04,0.03,0
CUST00239,0.33,0.13,0.07,0
CUST00240,0.56,0.28,0.14,0
CUST00241,0.35,0.14,0.11,0
CUST00242,0.23,0.05,0.04,0
CUST00243,0.3,0.08,0.03,0
CUST00244,0.47,0.11,0.05,0
CUST00245,0.25,0.13,0.04,0
CUST00246,0.06,0.02,0.01,0
CUST00247,0.34,0.19,0.08,0
CUST00248,0.2,0.11,0.04,0
CUST00249,0.4,0.24,0.1,0
CUST00250,0.25,0.09,0.05,0
CUST00251,0.36,0.08,0.04,0
CUST00252,0.32,0.13,0.1,0
CUST00253,0.24,0.07,0.05,0
CUST00254,0.72,0.16,0.05,0
CUST00255,0.36,0.2,0.13,0
CUST00256,0.37,0.08,0.04,0
CUST00257,0.14,0.06,0.04,0
CUST00258,0.15,0.04,0.02,0
CUST00259,0.36,0.08,0.03,0
CUST00260,0.09,0.05,0.03,0
CUST00261,0.46,0.23,0.07,0
CUST00262,0.44,0.22,0.1,0
CUST00263,0.15,0.07,0.04,0
CUST00264,0.22,0.07,0.05,0
CUST00265,0.41,0.12,0.06,0
CUST00266,0.21,0.04,0.03,0
CUST00267,0.36,0.1,0.04,0
CUST00268,0.31,0.17,0.07,0
CUST00269,0.41,0.21,0.12,0
CUST00270,0.39,0.21,0.12,0
CUST00271,0.19,0.04,0.01,0
CUST00272,0.34,0.13,0.07,0
CUST00273,0.28,0.1,0.08,0
CUST00274,0.11,0.03,0.01,0
CUST00275,0.04,0.02,0.01,0
CUST00276,0.55,0.22,0.12,0
CUST00277,0.22,0.07,0.05,0
CUST00278,0.08,0.02,0.01,0
CUST00279,0.32,0.12,0.08,0
CUST00280,0.19,0.06,0.05,0
CUST00281,0.16,0.04,0.03,0
CUST00282,0.1,0.05,0.04,0
CUST00283,0.14,0.08,0.05,0
CUST00284,0.42,0.11,0.05,0
CUST00285,0.01,0.0,0.0,0
CUST00286,0.22,0.12,0.04,0
CUST00287,0.26,0.1,0.03,0
CUST00288,0.26,0.09,0.05,0
CUST00289,0.36,0.17,0.09,0
CUST00290,0.29,0.06,0.02,0
CUST00291,0.27,0.12,0.09,0
CUST00292,0.22,0.08,0.06,0
CUST00293,0.1,0.02,0.01,0
CUST00294,0.4,0.17,0.05,0
CUST00295,0.36,0.13,0.05,0
CUST00296,0.33,0.18,0.12,0
CUST00297,0.2,0.07,0.02,0
CUST00298,0.24,0.12,0.06,0
CUST00299,0.06,0.03,0.01,0
CUST00300,0.35,0.16,0.09,0
CUST00301,0.19,0.08,0.03,0
CUST00302,0.22,0.1,0.06,0
CUST00303,0.56,0.32,0.12,0
CUST00304,0.27,0.07,0.05,0
CUST00305,0.16,0.08,0.02,0
CUST00306,0.47,0.15,0.08,1
CUST00307,0.14,0.07,0.03,0
CUST00308,0.15,0.04,0.02,0
CUST00309,0.57,0.16,0.1,0
CUST00310,0.19,0.1,0.08,0
CUST00311,0.64,0.19,0.12,0
CUST00312,0.28,0.07,0.05,0
CUST00313,0.23,0.13,0.1,0
CUST00314,0.16,0.04,0.03,0
CUST00315,0.23,0.05,0.04,0
CUST00316,0.3,0.13,0.04,0
CUST00317,0.47,0.28,0.13,0
CUST00318,0.18,0.09,0.03,0
CUST00319,0.66,0.16,0.08,0
CUST00320,0.37,0.13,0.1,0
CUST00321,0.68,0.39,0.25,0
CUST00322,0.13,0.06,0.03,0
CUST00323,0.48,0.18,0.14,0
CUST00324,0.1,0.05,0.02,0
CUST00325,0.24,0.14,0.07,0
CUST00326,0.15,0.08,0.06,1
CUST00327,0.39,0.09,0.04,0
CUST00328,0.43,0.21,0.12,0
CUST00329,0.25,0.09,0.06,0
CUST00330,0.54,0.23,0.14,0
CUST00331,0.08,0.04,0.03,0
CUST00332,0.35,0.15,0.09,0
CUST00333,0.09,0.04,0.02,0
CUST00334,0.41,0.09,0.07,0
CUST00335,0.05,0.03,0.02,0
CUST00336,0.36,0.09,0.07,0
CUST00337,0.24,0.05,0.04,0
CUST00338,0.41,0.24,0.14,0
CUST00339,0.31,0.16,0.09,0
CUST00340,0.36,0.17,0.12,0
CUST00341,0.16,0.07,0.05,0
CUST00342,0.25,0.07,0.05,0
CUST00343,0.24,0.08,0.04,0
CUST00344,0.35,0.07,0.03,0
CUST00345,0.44,0.22,0.08,0
CUST00346,0.42,0.24,0.14,0
CUST00347,0.1,0.04,0.03,0
CUST00348,0.15,0.04,0.02,0
CUST00349,0.42,0.12,0.08,0
CUST00350,0.36,0.16,0.06,0
CUST00351,0.36,0.15,0.11,0
CUST00352,0.19,0.11,0.05,0
CUST00353,0.74,0.26,0.17,0
CUST00354,0.66,0.26,0.18,0
CUST00355,0.42,0.13,0.05,0
CUST00356,0.1,0.05,0.02,0
CUST00357,0.41,0.19,0.15,1
CUST00358,0.62,0.29,0.18,0
CUST00359,0.44,0.16,0.09,0
CUST00360,0.05,0.02,0.01,0
CUST00361,0.23,0.07,0.02,0
CUST00362,0.38,0.17,0.11,0
CUST00363,0.1,0.03,0.02,0
CUST00364,0.61,0.19,0.1,0
CUST00365,0.1,0.06,0.02,0
CUST00366,0.63,0.32,0.2,0
CUST00367,0.31,0.08,0.04,0
CUST00368,0.46,0.24,0.19,0
CUST00369,0.13,0.05,0.02,0
CUST00370,0.68,0.35,0.26,0
CUST00371,0.23,0.09,0.07,0
CUST00372,0.47,0.26,0.13,0
CUST00373,0.23,0.07,0.04,1
CUST00374,0.16,0.06,0.02,0
CUST00375,0.22,0.07,0.03,0
CUST00376,0.54,0.13,0.1,0
CUST00377,0.11,0.03,0.02,0
CUST00378,0.38,0.17,0.11,0
CUST00379,0.45,0.1,0.05,0
CUST00380,0.1,0.03,0.02,0
CUST00381,0.23,0.05,0.04,0
CUST00382,0.38,0.12,0.1,0
CUST00383,0.23,0.06,0.02,0
CUST00384,0.45,0.24,0.11,0
CUST00385,0.48,0.28,0.11,0
CUST00386,0.29,0.11,0.08,0
CUST00387,0.2,0.12,0.06,1
CUST00388,0.3,0.14,0.06,0
CUST00389,0.54,0.14,0.07,0
CUST00390,0.54,0.19,0.12,0
CUST00391,0.19,0.08,0.03,0
CUST00392,0.16,0.09,0.04,0
CUST00393,0.74,0.35,0.26,1
CUST00394,0.5,0.19,0.12,0
CUST00395,0.09,0.03,0.02,0
CUST00396,0.1,0.05,0.02,0
CUST00397,0.3,0.07,0.04,0
CUST00398,0.24,0.12,0.07,0
CUST00399,0.43,0.16,0.12,0
CUST00400,0.21,0.05,0.02,0
CUST00401,0.25,0.06,0.04,0
CUST00402,0.37,0.21,0.12,0
CUST00403,0.17,0.05,0.04,0
CUST00404,0.92,0.34,0.12,0
CUST00405,0.41,0.09,0.03,0
CUST00406,0.19,0.06,0.02,0
CUST00407,0.19,0.09,0.04,0
CUST00408,0.55,0.22,0.13,0
CUST00409,0.35,0.19,0.11,0
CUST00410,0.05,0.02,0.01,0
CUST00411,0.11,0.03,0.02,0
CUST00412,0.46,0.14,0.08,0
CUST00413,0.13,0.05,0.02,0
CUST00414,0.14,0.05,0.04,0
CUST00415,0.43,0.24,0.13,0
CUST00416,0.49,0.13,0.05,0
CUST00417,0.36,0.09,0.03,0
CUST00418,0.14,0.05,0.04,0
CUST00419,0.27,0.07,0.04,0
CUST00420,0.42,0.15,0.11,0
CUST00421,0.16,0.05,0.04,0
CUST00422,0.15,0.04,0.02,0
CUST00423,0.47,0.11,0.08,0
CUST00424,0.22,0.09,0.07,0
CUST00425,0.44,0.15,0.07,0
CUST00426,0.05,0.02,0.01,0
CUST00427,0.56,0.19,0.09,0
CUST00428,0.33,0.15,0.1,0
CUST00429,0.31,0.11,0.08,0
CUST00430,0.05,0.02,0.01,0
CUST00431,0.22,0.06,0.04,0
CUST00432,0.39,0.2,0.15,0
CUST00433,0.47,0.23,0.11,0
CUST00434,0.38,0.19,0.07,0
CUST00435,0.4,0.18,0.1,0
CUST00436,0.07,0.03,0.02,0
CUST00437,0.58,0.16,0.06,0
CUST00438,0.24,0.08,0.04,0
CUST00439,0.79,0.21,0.1,0
CUST00440,0.4,0.1,0.07,0
CUST00441,0.05,0.01,0.0,0
CUST00442,0.7,0.41,0.22,0
CUST00443,0.18,0.09,0.07,0
CUST00444,0.51,0.27,0.16,0
CUST00445,0.23,0.11,0.04,0
CUST00446,0.03,0.01,0.0,0
CUST00447,0.06,0.03,0.02,0
CUST00448,0.16,0.06,0.05,0
CUST00449,0.11,0.05,0.03,0
CUST00450,0.09,0.02,0.01,0
CUST00451,0.17,0.04,0.03,0
CUST00452,0.57,0.33,0.21,0
CUST00453,0.33,0.16,0.09,0
CUST00454,0.32,0.07,0.04,0
CUST00455,0.49,0.25,0.19,0
CUST00456,0.31,0.07,0.02,0
CUST00457,0.38,0.09,0.03,0
CUST00458,0.2,0.07,0.05,0
CUST00459,0.35,0.1,0.04,0
CUST00460,0.1,0.04,0.02,0
CUST00461,0.37,0.13,0.05,0
CUST00462,0.52,0.2,0.07,0
CUST00463,0.28,0.12,0.1,1
CUST00464,0.61,0.22,0.11,0
CUST00465,0.18,0.05,0.02,0
CUST00466,0.28,0.06,0.02,0
CUST00467,0.03,0.01,0.01,0
CUST00468,0.36,0.08,0.04,0
CUST00469,0.19,0.07,0.02,0
CUST00470,0.05,0.02,0.01,0
CUST00471,0.48,0.26,0.08,0
CUST00472,0.21,0.05,0.03,0
CUST00473,0.52,0.23,0.1,0
CUST00474,0.31,0.13,0.07,0
CUST00475,0.31,0.11,0.04,0
CUST00476,0.17,0.09,0.03,0
CUST00477,0.08,0.02,0.01,0
CUST00478,0.27,0.07,0.03,0
CUST00479,0.15,0.04,0.03,0
CUST00480,0.17,0.04,0.02,0
CUST00481,0.12,0.07,0.03,0
CUST00482,0.29,0.11,0.05,1
CUST00483,0.6,0.34,0.2,0
CUST00484,0.15,0.04,0.03,0
CUST00485,0.49,0.19,0.15,0
CUST00486,0.06,0.02,0.01,0
CUST00487,0.31,0.09,0.05,0
CUST00488,0.16,0.09,0.03,0
CUST00489,0.56,0.16,0.13,0
CUST00490,0.04,0.02,0.01,0
CUST00491,0.15,0.04,0.02,1
CUST00492,0.67,0.19,0.06,0
CUST00493,0.09,0.03,0.02,0
CUST00494,0.12,0.03,0.02,0
CUST00495,0.39,0.22,0.1,0
CUST00496,0.21,0.07,0.05,1
CUST00497,0.48,0.24,0.11,0
CUST00498,0.54,0.28,0.1,0
CUST00499,0.07,0.04,0.02,0
CUST00500,0.19,0.07,0.05,0
CUST00501,0.21,0.1,0.08,0
CUST00502,0.46,0.19,0.07,0
CUST00503,0.33,0.09,0.05,0
CUST00504,0.1,0.04,0.01,0
CUST00505,0.5,0.21,0.16,0
CUST00506,0.31,0.14,0.06,0
CUST00507,0.24,0.14,0.08,0
CUST00508,0.06,0.02,0.01,0
CUST00509,0.25,0.07,0.05,1
CUST00510,0.14,0.04,0.02,0
CUST00511,0.31,0.11,0.03,0
CUST00512,0.2,0.05,0.03,0
CUST00513,0.06,0.03,0.02,0
CUST00514,0.12,0.03,0.01,0
CUST00515,0.21,0.08,0.03,0
CUST00516,0.14,0.05,0.04,0
CUST00517,0.33,0.1,0.05,0
CUST00518,0.81,0.42,0.33,0
CUST00519,0.33,0.09,0.06,0
CUST00520,0.16,0.05,0.04,0
CUST00521,0.25,0.09,0.05,0
CUST00522,0.08,0.03,0.01,0
CUST00523,0.23,0.07,0.05,0
CUST00524,0.48,0.24,0.19,0
CUST00525,0.64,0.32,0.24,0
CUST00526,0.39,0.21,0.16,0
CUST00527,0.24,0.06,0.03,0
CUST00528,0.29,0.11,0.08,0
CUST00529,0.55,0.31,0.22,0
CUST00530,0.31,0.16,0.07,0
CUST00531,0.17,0.09,0.05,0
CUST00532,0.13,0.05,0.03,0
CUST00533,0.24,0.14,0.06,0
CUST00534,0.55,0.17,0.07,0
CUST00535,0.25,0.06,0.04,0
CUST00536,0.54,0.25,0.08,0
CUST00537,0.21,0.1,0.03,0
CUST00538,0.43,0.18,0.13,0
CUST00539,0.31,0.19,0.11,0
CUST00540,0.15,0.06,0.04,0
CUST00541,0.05,0.03,0.02,0
CUST00542,0.2,0.07,0.02,0
CUST00543,0.36,0.2,0.13,0
CUST00544,0.44,0.11,0.06,0
CUST00545,0.45,0.14,0.08,0
CUST00546,0.22,0.08,0.03,0
CUST00547,0.36,0.11,0.04,0
CUST00548,0.17,0.1,0.06,0
CUST00549,0.13,0.07,0.04,0
CUST00550,0.45,0.21,0.13,0
CUST00551,0.34,0.08,0.06,0
CUST00552,0.23,0.07,0.04,0
CUST00553,0.3,0.12,0.04,0
CUST00554,0.2,0.07,0.03,0
CUST00555,0.33,0.07,0.04,0
CUST00556,0.22,0.06,0.03,0
CUST00557,0.23,0.06,0.02,0
CUST00558,0.48,0.23,0.12,0
CUST00559,0.38,0.2,0.12,0
CUST00560,0.29,0.17,0.13,0
CUST00561,0.43,0.25,0.1,0
CUST00562,0.26,0.1,0.08,0
CUST00563,0.71,0.17,0.11,0
CUST00564,0.26,0.06,0.05,0
CUST00565,0.3,0.12,0.08,0
CUST00566,0.28,0.06,0.04,0
CUST00567,0.12,0.05,0.02,0
CUST00568,0.36,0.19,0.14,0
CUST00569,0.19,0.11,0.05,0
CUST00570,0.29,0.16,0.11,0
CUST00571,0.24,0.14,0.07,0
CUST00572,0.2,0.08,0.05,0
CUST00573,0.52,0.29,0.12,0
CUST00574,0.33,0.19,0.06,0
CUST00575,0.26,0.13,0.1,0
CUST00576,0.26,0.09,0.04,1
CUST00577,0.53,0.31,0.16,0
CUST00578,0.27,0.09,0.03,1
CUST00579,0.46,0.27,0.09,0
CUST00580,0.32,0.15,0.1,0
CUST00581,0.38,0.12,0.07,0
CUST00582,0.64,0.26,0.13,0
CUST00583,0.21,0.07,0.04,0
CUST00584,0.49,0.16,0.13,0
CUST00585,0.22,0.09,0.05,0
CUST00586,0.36,0.09,0.07,0
CUST00587,0.46,0.24,0.1,0
CUST00588,0.61,0.13,0.1,0
CUST00589,0.59,0.29,0.09,0
CUST00590,0.26,0.09,0.05,0
CUST00591,0.39,0.08,0.06,0
CUST00592,0.16,0.03,0.01,0
CUST00593,0.31,0.09,0.03,0
CUST00594,0.37,0.19,0.14,0
CUST00595,0.02,0.01,0.01,0
CUST00596,0.38,0.16,0.06,0
CUST00597,0.65,0.21,0.14,0
CUST00598,0.34,0.18,0.07,1
CUST00599,0.07,0.04,0.01,0
CUST00600,0.4,0.2,0.07,0
CUST00601,0.36,0.1,0.05,0
CUST00602,0.08,0.05,0.02,0
CUST00603,0.38,0.12,0.09,0
CUST00604,0.21,0.1,0.03,0
CUST00605,0.74,0.29,0.22,1
CUST00606,0.66,0.36,0.29,0
CUST00607,0.35,0.18,0.12,0
CUST00608,0.34,0.15,0.11,0
CUST00609,0.66,0.2,0.07,0
CUST00610,0.61,0.14,0.07,0
CUST00611,0.56,0.13,0.06,0
CUST00612,0.52,0.13,0.08,0
CUST00613,0.12,0.03,0.02,0
CUST00614,0.37,0.15,0.05,0
CUST00615,0.49,0.21,0.12,0
CUST00616,0.32,0.14,0.11,0
CUST00617,0.37,0.21,0.13,0
CUST00618,0.24,0.14,0.05,0
CUST00619,0.29,0.09,0.05,0
CUST00620,0.06,0.03,0.02,0
CUST00621,0.44,0.1,0.03,1
CUST00622,0.13,0.03,0.01,0
CUST00623,0.14,0.04,0.03,0
CUST00624,0.27,0.08,0.04,0
CUST00625,0.21,0.07,0.05,0
CUST00626,0.22,0.09,0.06,0
CUST00627,0.53,0.24,0.12,0
CUST00628,0.24,0.06,0.04,0
CUST00629,0.42,0.13,0.06,0
CUST00630,0.51,0.28,0.19,0
CUST00631,0.33,0.11,0.06,0
CUST00632,0.28,0.09,0.03,0
CUST00633,0.11,0.05,0.02,0
CUST00634,0.2,0.09,0.06,0
CUST00635,0.53,0.17,0.07,0
CUST00636,0.56,0.24,0.12,0
CUST00637,0.55,0.11,0.05,0
CUST00638,0.42,0.23,0.09,0
CUST00639,0.21,0.04,0.02,0
CUST00640,0.34,0.08,0.04,0
CUST00641,0.25,0.11,0.05,0
CUST00642,0.68,0.35,0.26,0
CUST00643,0.4,0.09,0.06,0
CUST00644,0.59,0.22,0.09,0
CUST00645,0.64,0.16,0.13,0
CUST00646,0.39,0.22,0.16,0
CUST00647,0.12,0.04,0.01,0
CUST00648,0.31,0.16,0.12,0
CUST00649,0.58,0.31,0.24,0
CUST00650,0.33,0.09,0.03,0
CUST00651,0.16,0.07,0.03,0
CUST00652,0.26,0.05,0.02,0
CUST00653,0.21,0.07,0.05,0
CUST00654,0.12,0.06,0.04,0
CUST00655,0.46,0.12,0.07,0
CUST00656,0.17,0.04,0.03,0
CUST00657,0.17,0.07,0.05,0
CUST00658,0.17,0.05,0.03,0
CUST00659,0.17,0.07,0.03,0
CUST00660,0.41,0.14,0.06,0
CUST00661,0.31,0.14,0.08,0
CUST00662,0.17,0.07,0.04,0
CUST00663,0.06,0.03,0.02,0
CUST00664,0.19,0.05,0.03,0
CUST00665,0.21,0.07,0.04,0
CUST00666,0.32,0.18,0.12,0
CUST00667,0.18,0.1,0.05,0
CUST00668,0.09,0.03,0.02,0
CUST00669,0.6,0.16,0.06,0
CUST00670,0.49,0.27,0.17,0
CUST00671,0.22,0.1,0.06,0
CUST00672,0.31,0.06,0.05,0
CUST00673,0.64,0.34,0.25,0
CUST00674,0.02,0.0,0.0,0
CUST00675,0.05,0.03,0.02,0
CUST00676,0.54,0.21,0.09,0
CUST00677,0.33,0.17,0.13,0
CUST00678,0.61,0.34,0.15,0
CUST00679,0.25,0.07,0.03,0
CUST00680,0.19,0.11,0.08,0
CUST00681,0.14,0.07,0.02,0
CUST00682,0.18,0.11,0.05,0
CUST00683,0.31,0.08,0.05,0
CUST00684,0.32,0.16,0.08,0
CUST00685,0.16,0.06,0.03,0
CUST00686,0.26,0.06,0.05,0
CUST00687,0.09,0.04,0.01,0
CUST00688,0.05,0.02,0.02,0
CUST00689,0.2,0.06,0.05,0
CUST00690,0.32,0.07,0.03,0
CUST00691,0.19,0.06,0.04,0
CUST00692,0.38,0.15,0.1,0
CUST00693,0.3,0.13,0.09,0
CUST00694,0.88,0.23,0.08,0
CUST00695,0.68,0.34,0.23,0
CUST00696,0.41,0.17,0.12,0
