customer_id,ticket_count,complaint_count,avg_resolution_time,satisfaction_score
CUST00237,2,0,2.43,4.69
CUST00238,1,0,2.58,4.24
CUST00239,0,0,2.29,4.31
CUST00240,0,0,0.5,3.71
CUST00241,3,1,1.52,3.36
CUST00242,1,0,2.68,3.94
CUST00243,5,0,1.92,4.12
CUST00244,2,1,3.41,4.75
CUST00245,2,1,0.71,3.27
CUST00246,4,1,1.93,3.76
CUST00247,0,0,2.8,3.84
CUST00248,2,0,1.67,3.19
CUST00249,1,1,1.42,3.99
CUST00250,2,1,3.38,3.58
CUST00251,0,0,1.96,4.42
CUST00252,2,1,3.63,4.34
CUST00253,2,2,2.05,3.26
CUST00254,3,0,0.9,5.0
CUST00255,2,0,3.42,3.83
CUST00256,0,0,1.98,4.61
CUST00257,2,1,1.5,4.22
CUST00258,0,0,0.5,3.93
CUST00259,2,1,2.69,3.32
CUST00260,1,1,3.04,3.55
CUST00261,0,0,3.28,4.53
CUST00262,4,1,1.69,4.5
CUST00263,4,3,3.13,4.28
CUST00264,4,0,0.66,4.18
CUST00265,0,0,4.8,4.07
CUST00266,0,0,0.5,4.2
CUST00267,2,1,0.5,2.58
CUST00268,1,0,2.18,4.15
CUST00269,1,0,3.5,4.49
CUST00270,1,1,1.81,4.35
CUST00271,1,1,3.07,3.42
CUST00272,1,1,2.8,2.78
CUST00273,0,0,2.93,3.81
CUST00274,3,1,2.9,3.99
CUST00275,2,0,2.32,4.12
CUST00276,3,1,4.04,3.76
CUST00277,0,0,2.64,3.52
CUST00278,1,0,2.75,3.84
CUST00279,1,0,1.58,2.76
CUST00280,2,0,2.79,4.18
CUST00281,2,0,0.65,3.83
CUST00282,1,0,2.33,3.21
CUST00283,1,0,3.44,3.99
CUST00284,3,2,2.26,3.5
CUST00285,0,0,3.74,3.96
CUST00286,1,1,1.77,4.32
CUST00287,2,0,1.35,3.6
CUST00288,1,1,2.92,3.73
CUST00289,1,0,4.28,4.4
CUST00290,1,1,2.77,4.11
CUST00291,1,1,3.97,4.29
CUST00292,3,1,1.53,3.91
CUST00293,3,0,4.69,4.98
CUST00294,1,1,1.67,3.41
CUST00295,3,2,3.34,3.68
CUST00296,2,1,2.16,3.45
CUST00297,1,0,2.28,3.56
CUST00298,1,0,3.22,4.75
CUST00299,1,1,2.18,4.14
CUST00300,1,0,3.06,4.82
CUST00301,4,1,1.13,3.94
CUST00302,4,1,2.01,3.96
CUST00303,5,2,3.33,3.38
CUST00304,2,1,2.19,3.05
CUST00305,1,1,3.36,3.74
CUST00306,2,0,2.96,4.09
CUST00307,0,0,3.02,4.39
CUST00308,1,0,2.56,3.88
CUST00309,2,1,0.87,3.12
CUST00310,4,3,3.96,4.62
CUST00311,2,1,3.35,3.27
CUST00312,0,0,2.27,3.6
CUST00313,2,1,2.66,3.42
CUST00314,1,1,2.37,3.24
CUST00315,2,1,3.04,4.09
CUST00316,5,3,2.8,3.75
CUST00317,1,1,2.84,3.6
CUST00318,1,0,2.97,4.22
CUST00319,3,1,3.42,4.54
CUST00320,1,0,2.97,4.81
CUST00321,4,1,2.88,3.91
CUST00322,1,0,1.55,4.33
CUST00323,0,0,2.73,3.46
CUST00324,3,1,2.85,3.19
CUST00325,4,1,1.87,3.79
CUST00326,3,1,1.99,2.97
CUST00327,0,0,3.36,4.03
CUST00328,2,2,3.72,3.43
CUST00329,0,0,3.4,4.46
CUST00330,0,0,0.77,3.51
CUST00331,1,1,3.25,4.47
CUST00332,2,1,3.26,4.11
CUST00333,0,0,4.35,4.15
CUST00334,3,1,3.41,3.89
CUST00335,3,1,0.68,3.62
CUST00336,1,0,1.6,4.11
CUST00337,2,1,4.49,3.68
CUST00338,1,0,2.43,4.62
CUST00339,1,0,1.38,3.75
CUST00340,0,0,3.94,4.32
CUST00341,1,0,4.2,4.04
CUST00342,6,1,2.21,4.16
CUST00343,0,0,3.0,3.05
CUST00344,0,0,3.48,4.04
CUST00345,1,0,3.28,2.47
CUST00346,1,0,3.02,3.5
CUST00347,2,1,2.54,3.79
CUST00348,2,1,1.98,3.66
CUST00349,1,1,4.3,4.78
CUST00350,0,0,1.72,4.3
CUST00351,1,0,3.78,5.0
CUST00352,0,0,3.75,3.82
CUST00353,4,0,1.49,4.46
CUST00354,3,3,2.28,3.32
CUST00355,2,0,3.01,3.88
CUST00356,0,0,1.85,3.89
CUST00357,1,0,1.56,4.54
CUST00358,2,0,2.8,3.65
CUST00359,3,3,2.38,3.67
CUST00360,2,2,0.72,4.05
CUST00361,4,1,4.05,4.11
CUST00362,1,0,2.32,3.78
CUST00363,2,0,2.71,3.83
CUST00364,3,2,1.98,3.37
CUST00365,2,1,1.26,4.21
CUST00366,0,0,4.29,4.04
CUST00367,1,0,1.41,3.42
CUST00368,5,4,2.3,2.05
CUST00369,2,2,3.76,3.01
CUST00370,0,0,2.46,3.69
CUST00371,0,0,2.81,5.0
CUST00372,1,1,2.06,3.03
CUST00373,1,0,3.05,4.84
CUST00374,0,0,2.72,2.85
CUST00375,1,0,1.6,5.0
CUST00376,3,2,2.8,2.69
CUST00377,2,1,2.38,4.1
CUST00378,0,0,1.69,3.24
CUST00379,0,0,2.41,4.91
CUST00380,0,0,2.46,3.89
CUST00381,3,0,1.76,3.96
CUST00382,0,0,3.0,4.07
CUST00383,1,1,3.6,2.68
CUST00384,1,0,2.36,3.3
CUST00385,1,0,3.31,4.33
CUST00386,5,2,2.73,4.16
CUST00387,1,0,2.31,4.06
CUST00388,1,1,4.84,3.29
CUST00389,1,1,5.38,3.96
CUST00390,0,0,2.79,4.01
CUST00391,4,1,2.33,2.84
CUST00392,0,0,3.4,3.5
CUST00393,3,2,3.56,2.68
CUST00394,1,1,3.27,2.85
CUST00395,2,2,0.89,3.55
CUST00396,1,0,3.01,3.44
CUST00397,0,0,2.16,4.68
CUST00398,1,1,4.64,4.27
CUST00399,0,0,2.81,4.57
CUST00400,1,0,0.5,4.29
CUST00401,1,0,1.67,4.03
CUST00402,0,0,1.8,4.52
CUST00403,2,1,1.91,3.83
CUST00404,2,1,2.25,4.08
CUST00405,0,0,2.05,4.67
CUST00406,2,1,2.59,4.5
CUST00407,2,0,1.8,3.63
CUST00408,0,0,2.73,2.92
CUST00409,1,0,2.31,4.29
CUST00410,1,1,5.02,2.69
CUST00411,2,2,1.97,3.98
CUST00412,4,3,2.09,3.0
CUST00413,2,0,0.97,4.85
CUST00414,2,1,2.74,3.85
CUST00415,3,2,2.27,3.32
CUST00416,1,1,2.24,3.89
CUST00417,0,0,3.38,3.57
CUST00418,0,0,0.86,3.51
CUST00419,2,2,0.58,3.88
CUST00420,1,1,1.54,5.0
CUST00421,0,0,3.68,3.9
CUST00422,2,0,1.66,4.56
CUST00423,4,2,0.5,3.2
CUST00424,3,1,3.62,4.7
CUST00425,1,0,1.47,4.06
CUST00426,2,0,1.51,3.47
CUST00427,2,0,1.95,4.62
CUST00428,1,1,5.76,4.3
CUST00429,2,1,2.19,3.14
CUST00430,1,0,1.85,3.89
CUST00431,0,0,1.31,3.94
CUST00432,2,1,1.39,3.58
CUST00433,2,0,3.51,4.36
CUST00434,0,0,2.74,3.07
CUST00435,1,0,2.25,4.22
CUST00436,1,0,2.59,3.78
CUST00437,3,1,2.95,3.9
CUST00438,2,0,2.46,4.36
CUST00439,1,0,3.59,4.21
CUST00440,2,1,2.98,3.99
CUST00441,3,2,1.42,3.37
CUST00442,1,0,2.23,4.06
CUST00443,0,0,2.45,3.66
CUST00444,0,0,1.12,4.05
CUST00445,5,3,2.76,2.86
CUST00446,0,0,0.98,5.0
CUST00447,2,0,2.79,4.06
CUST00448,2,2,2.7,3.4
CUST00449,3,3,1.14,2.09
CUST00450,3,1,1.71,4.2
CUST00451,1,0,2.99,4.14
CUST00452,1,0,2.84,4.5
CUST00453,3,2,2.94,3.64
CUST00454,1,0,2.28,2.85
CUST00455,3,1,2.79,3.12
CUST00456,3,2,2.55,3.7
CUST00457,3,1,3.0,3.14
CUST00458,3,2,2.15,3.41
CUST00459,0,0,2.68,3.53
CUST00460,4,1,1.36,3.4
CUST00461,0,0,3.71,4.05
CUST00462,0,0,4.56,3.52
CUST00463,1,0,4.6,4.09
CUST00464,4,4,1.94,3.38
CUST00465,5,4,3.29,3.55
CUST00466,1,1,2.74,3.87
CUST00467,1,0,2.4,3.89
CUST00468,3,0,2.13,4.16
CUST00469,0,0,2.56,3.95
CUST00470,1,1,2.46,3.82
CUST00471,1,0,3.16,4.54
CUST00472,0,0,3.03,5.0
CUST00473,2,1,3.47,3.65
CUST00474,1,1,2.77,3.74
CUST00475,0,0,2.79,4.73
CUST00476,1,0,3.63,3.78
CUST00477,0,0,3.29,3.1
CUST00478,0,0,2.1,3.83
CUST00479,1,1,3.11,3.92
CUST00480,4,2,3.01,3.9
CUST00481,2,1,2.02,4.65
CUST00482,3,1,1.93,4.23
CUST00483,2,0,1.61,4.09
CUST00484,0,0,3.69,4.13
CUST00485,1,0,2.08,4.36
CUST00486,1,1,0.5,3.64
CUST00487,0,0,2.62,3.47
CUST00488,2,0,2.32,4.24
CUST00489,1,0,1.98,4.78
CUST00490,0,0,3.84,3.8
CUST00491,3,1,3.77,4.0
CUST00492,0,0,2.54,4.27
CUST00493,2,1,1.54,4.35
CUST00494,2,1,3.76,3.9
CUST00495,1,1,3.19,3.9
CUST00496,2,0,2.75,4.12
CUST00497,1,0,1.03,3.45
CUST00498,3,1,3.28,3.54
CUST00499,2,0,1.42,3.51
CUST00500,2,1,0.5,2.91
CUST00501,2,1,3.73,4.65
CUST00502,3,2,4.44,3.22
CUST00503,0,0,2.25,4.48
CUST00504,0,0,2.72,4.83
CUST00505,0,0,4.84,3.97
CUST00506,0,0,2.35,4.35
CUST00507,1,0,2.31,3.66
CUST00508,2,2,1.75,4.46
CUST00509,3,0,2.85,4.09
CUST00510,3,0,2.51,4.24
CUST00511,1,1,2.3,4.33
CUST00512,0,0,3.89,3.13
CUST00513,1,0,4.3,4.13
CUST00514,2,2,1.61,4.61
CUST00515,1,0,0.5,4.28
CUST00516,1,0,3.28,4.4
CUST00517,0,0,1.75,4.37
CUST00518,4,2,0.5,4.05
CUST00519,0,0,0.5,3.1
CUST00520,1,0,1.47,4.97
CUST00521,2,1,2.46,4.01
CUST00522,2,1,2.22,3.96
CUST00523,2,1,1.81,3.38
CUST00524,1,0,1.72,3.44
CUST00525,0,0,3.29,4.2
CUST00526,1,1,2.43,4.0
CUST00527,4,2,2.42,4.42
CUST00528,0,0,3.05,3.54
CUST00529,2,1,3.1,3.3
CUST00530,1,0,2.43,3.59
CUST00531,1,1,1.4,3.61
CUST00532,2,0,1.2,3.67
CUST00533,2,0,2.25,3.76
CUST00534,3,0,0.88,3.93
CUST00535,1,0,2.97,3.67
CUST00536,1,0,1.68,3.77
CUST00537,2,2,1.44,3.12
CUST00538,4,2,0.5,3.03
CUST00539,1,1,3.43,3.68
CUST00540,1,1,4.04,4.15
CUST00541,1,1,1.77,4.05
CUST00542,2,1,0.66,4.3
CUST00543,2,2,1.33,4.05
CUST00544,2,2,2.33,3.79
CUST00545,0,0,1.66,3.41
CUST00546,1,1,1.76,3.16
CUST00547,0,0,1.64,4.03
CUST00548,2,1,1.48,3.85
CUST00549,1,0,2.61,5.0
CUST00550,1,0,1.95,4.63
CUST00551,0,0,3.1,3.91
CUST00552,0,0,1.95,4.47
CUST00553,3,3,2.07,3.71
CUST00554,3,0,2.79,4.35
CUST00555,2,1,2.88,5.0
CUST00556,1,0,2.29,2.98
CUST00557,4,1,2.53,3.48
CUST00558,0,0,1.59,3.53
CUST00559,0,0,2.45,3.59
CUST00560,2,2,1.97,3.2
CUST00561,2,0,2.01,4.04
CUST00562,1,1,3.19,4.94
CUST00563,1,0,2.85,4.46
CUST00564,2,1,2.2,3.62
CUST00565,3,1,1.85,4.37
CUST00566,3,0,2.54,3.49
CUST00567,4,1,3.48,3.71
CUST00568,4,3,0.5,2.25
CUST00569,1,1,3.22,4.04
CUST00570,1,1,3.3,3.99
CUST00571,0,0,3.52,5.0
CUST00572,4,2,0.56,4.21
CUST00573,1,0,1.18,3.96
CUST00574,0,0,4.37,3.7
CUST00575,3,1,1.97,4.44
CUST00576,1,0,1.6,4.22
CUST00577,1,0,1.69,4.27
CUST00578,1,0,3.38,4.54
CUST00579,1,0,1.71,3.43
CUST00580,5,3,2.71,2.55
CUST00581,0,0,3.15,3.74
CUST00582,2,1,2.25,3.84
CUST00583,1,1,0.5,4.14
CUST00584,0,0,2.33,3.71
CUST00585,1,0,1.9,4.29
CUST00586,1,1,2.49,3.84
CUST00587,3,2,2.13,2.81
CUST00588,0,0,1.98,3.55
CUST00589,0,0,1.82,3.9
CUST00590,2,0,2.04,3.3
CUST00591,2,1,2.22,3.39
CUST00592,1,1,3.08,4.85
CUST00593,1,0,1.77,4.14
CUST00594,2,1,3.64,4.06
CUST00595,3,0,3.49,4.17
CUST00596,1,1,4.46,3.79
CUST00597,6,1,1.79,4.25
CUST00598,0,0,4.28,3.73
CUST00599,1,0,3.1,3.69
CUST00600,2,1,1.64,3.93
CUST00601,1,0,2.24,3.47
CUST00602,3,2,2.41,2.49
CUST00603,2,1,3.44,4.72
CUST00604,2,0,3.78,4.72
CUST00605,1,0,1.59,3.42
CUST00606,2,1,1.12,3.04
CUST00607,2,0,2.57,3.64
CUST00608,0,0,2.38,4.19
CUST00609,1,1,4.18,4.62
CUST00610,1,0,0.61,4.81
CUST00611,1,1,2.35,4.89
CUST00612,0,0,3.07,4.06
CUST00613,1,1,3.18,4.28
CUST00614,2,0,3.01,4.77
CUST00615,1,1,2.57,3.93
CUST00616,3,1,0.86,3.95
CUST00617,1,0,3.2,4.53
CUST00618,0,0,2.5,5.0
CUST00619,1,0,1.23,3.85
CUST00620,2,0,3.73,4.65
CUST00621,2,2,0.95,3.64
CUST00622,1,0,4.36,4.42
CUST00623,2,0,1.98,4.33
CUST00624,3,3,2.56,2.9
CUST00625,0,0,2.51,3.26
CUST00626,1,1,3.39,4.35
CUST00627,2,1,2.05,3.48
CUST00628,1,0,1.96,4.2
CUST00629,0,0,2.78,3.36
CUST00630,1,1,2.05,4.24
CUST00631,1,0,0.74,3.23
CUST00632,3,2,2.19,4.25
CUST00633,3,2,1.01,3.52
CUST00634,4,0,1.75,5.0
CUST00635,1,1,0.57,4.43
CUST00636,1,1,1.07,3.12
CUST00637,0,0,4.36,4.46
CUST00638,0,0,0.5,3.87
CUST00639,0,0,1.56,4.39
CUST00640,5,0,3.03,3.81
CUST00641,1,0,2.64,3.95
CUST00642,0,0,2.49,3.56
CUST00643,3,1,3.13,4.01
CUST00644,1,0,1.62,4.11
CUST00645,1,0,0.98,4.05
CUST00646,1,0,2.52,3.99
CUST00647,2,1,4.66,2.95
CUST00648,1,0,2.41,3.27
CUST00649,2,2,3.14,3.1
CUST00650,1,1,3.57,3.61
CUST00651,1,1,2.51,4.14
CUST00652,0,0,3.29,4.2
CUST00653,1,0,2.66,2.59
CUST00654,1,0,3.3,3.98
CUST00655,1,0,4.24,3.71
CUST00656,1,0,2.12,4.08
CUST00657,5,2,2.31,2.98
CUST00658,4,2,2.03,3.23
CUST00659,3,2,1.63,2.93
CUST00660,3,3,1.99,3.24
CUST00661,6,2,3.39,2.41
CUST00662,2,1,3.91,3.79
CUST00663,2,0,2.68,2.92
CUST00664,3,0,3.97,4.23
CUST00665,4,0,4.02,3.79
CUST00666,3,1,0.5,2.94
CUST00667,1,1,2.81,3.84
CUST00668,3,1,1.25,3.73
CUST00669,3,0,1.85,3.64
CUST00670,1,0,1.23,4.09
CUST00671,3,0,2.06,2.68
CUST00672,1,1,3.9,4.14
CUST00673,1,0,0.5,3.52
CUST00674,2,1,4.13,3.96
CUST00675,2,1,2.81,4.47
CUST00676,4,1,3.25,2.82
CUST00677,2,0,1.72,4.52
CUST00678,2,1,2.76,3.86
CUST00679,4,2,1.87,3.1
CUST00680,2,1,2.82,3.04
CUST00681,1,0,2.78,4.13
CUST00682,1,0,1.46,4.13
CUST00683,0,0,2.94,3.47
CUST00684,3,1,2.76,3.42
CUST00685,3,1,2.64,3.21
CUST00686,1,0,2.65,4.2
CUST00687,1,0,1.57,3.8
CUST00688,2,0,4.04,3.55
CUST00689,2,1,4.26,3.96
CUST00690,2,0,2.47,4.5
CUST00691,2,1,2.48,4.23
CUST00692,0,0,3.06,3.48
CUST00693,1,1,2.22,3.85
CUST00694,2,0,2.3,3.98
CUST00695,1,0,2.59,2.69
CUST00696,3,1,2.1,4.34
CUST00697,1,0,3.44,3.55
CUST00698,0,0,1.56,3.66
CUST00699,0,0,3.05,3.44
CUST00700,0,0,2.36,4.28
CUST00701,3,1,2.94,3.35
CUST00702,2,2,1.93,3.08
CUST00703,2,1,1.61,3.63
CUST00704,1,0,1.78,5.0
CUST00705,1,0,3.43,4.34
CUST00706,2,1,4.8,3.41
CUST00707,0,0,2.32,3.49
CUST00708,0,0,1.85,4.2
CUST00709,3,2,2.78,2.73
CUST00710,1,0,1.56,3.37
CUST00711,2,0,3.36,4.26
CUST00712,6,3,2.59,2.98
CUST00713,0,0,2.03,3.93
CUST00714,2,1,2.9,3.62
CUST00715,1,1,2.66,3.72
CUST00716,2,2,2.59,3.73
CUST00717,3,1,2.89,4.15
CUST00718,3,1,1.93,3.53
CUST00719,0,0,2.64,4.33
CUST00720,2,1,2.94,4.0
CUST00721,1,1,4.43,3.57
CUST00722,0,0,2.8,4.44
CUST00723,2,1,2.07,2.97
CUST00724,0,0,2.41,3.92
CUST00725,1,0,1.27,4.16
CUST00726,0,0,2.59,4.78
CUST00727,3,1,1.76,3.96
CUST00728,1,0,3.33,3.92
CUST00729,0,0,2.78,4.38
CUST00730,2,2,1.44,3.64
CUST00731,1,0,1.96,3.86
CUST00732,4,4,3.44,3.47
CUST00733,3,0,3.85,4.25
CUST00734,1,1,3.04,4.0
CUST00735,2,1,3.11,3.71
CUST00736,3,2,1.6,4.14
CUST00737,2,1,4.27,3.71
CUST00738,1,1,2.88,2.55
CUST00739,4,1,1.68,3.8
CUST00740,2,1,0.95,4.31
CUST00741,2,0,3.62,3.66
CUST00742,1,1,1.09,3.86
CUST00743,0,0,3.7,3.63
CUST00744,2,0,1.98,2.87
CUST00745,3,1,3.44,4.02
CUST00746,2,2,2.95,3.15
CUST00747,0,0,4.04,3.96
CUST00748,1,1,2.95,3.5
CUST00749,1,1,1.87,4.0
CUST00750,1,1,2.57,4.3
CUST00751,1,1,2.73,3.42
CUST00752,2,0,1.32,4.15
CUST00753,3,0,2.65,4.41
CUST00754,1,0,1.11,3.44
CUST00755,2,0,3.87,4.41
CUST00756,1,1,0.5,4.49
CUST00757,1,1,3.21,2.96
CUST00758,1,1,2.27,3.83
CUST00759,3,2,2.79,3.26
CUST00760,0,0,2.91,3.92
CUST00761,2,2,1.33,4.04
CUST00762,2,2,1.47,3.17
CUST00763,0,0,1.16,4.12
CUST00764,2,1,2.49,4.45
CUST00765,0,0,2.59,3.69
CUST00766,2,1,3.31,3.83
CUST00767,4,2,1.92,4.17
CUST00768,2,1,4.04,4.46
CUST00769,4,3,0.58,3.55
CUST00770,3,2,2.15,3.02
CUST00771,3,2,4.18,4.0
CUST00772,3,1,2.63,3.72
CUST00773,0,0,3.63,4.35
